CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment
36047085600;Kings;Brooklyn;3290;1214;2076;09.04;00.07;88.05.00;00.00;00.08;1932;52554.0;10896.0;25850.0;2687.00.00;10.03;11.06;24.07.00;28.08.00;30.05.00;08.06;07.03;23.08;00.06;70.02.00;03.06;01.02;00.07;42.00.00;1702;76.02.00;18.08;05.00;00.00;10.00
36047085800;Kings;Brooklyn;2378;1170;1208;06.01;00.07;90.05.00;00.00;02.08;1466;52083.0;7678.00.00;20645.0;2340.00.00;15.01;13.09;31.06.00;30.08.00;19.09;04.08;13.00;28.08.00;05.07;61.07.00;02.01;00.08;00.08;44.08.00;988;77.03.00;21.06;01.01;00.00;05.07
36047086000;Kings;Brooklyn;3691;1609;2082;12.06;00.00;84.02.00;00.00;01.05;2040;42270.0;4098.00.00;18551.0;2423.00.00;23.02;38.02.00;25.07.00;42.02.00;12.03;08.08;11.00;23.03;03.03;63.05.00;06.00;02.02;01.07;43.02.00;1447;81.09.00;11.00;07.01;00.00;09.07
36047086200;Kings;Brooklyn;3003;1282;1721;01.02;00.01;96.03.00;00.00;00.00;1875;44018.0;10451.0;22455.0;3020.00.00;14.09;11.08;16.06;45.00.00;26.08.00;07.07;03.09;16.04;04.04;71.00.00;02.00;02.09;03.02;50.09.00;1351;69.02.00;25.05.00;05.03;00.00;12.02
36047086400;Kings;Brooklyn;2203;1035;1168;08.00;00.05;90.07.00;00.00;00.07;1347;42794.0;9751.00.00;22704.0;2992.00.00;14.04;25.02.00;28.08.00;32.04.00;18.07;06.04;13.08;28.09.00;02.04;63.07.00;01.02;00.06;03.01;40.03.00;850;62.09.00;30.01.00;06.01;00.08;19.07
36047086600;Kings;Brooklyn;3175;1404;1771;03.07;00.06;94.08.00;00.00;00.00;2112;46438.0;9742.00.00;26711.0;4168.00.00;12.05;03.05;38.06.00;26.02.00;16.04;10.03;08.05;24.09.00;05.07;60.07.00;05.07;00.00;02.09;44.07.00;1451;70.06.00;24.08.00;04.05;00.00;07.04
36047086800;Kings;Brooklyn;3118;1317;1801;08.01;06.08;82.08.00;00.00;01.02;1606;47679.0;18629.0;20676.0;2743.00.00;24.08.00;40.03.00;24.07.00;33.09.00;27.08.00;07.04;06.02;18.00;00.00;68.00.00;05.04;04.01;04.05;47.08.00;1591;70.05.00;21.07;07.04;00.05;09.02
36047087000;Kings;Brooklyn;3187;1420;1767;05.04;01.02;91.09.00;00.00;00.00;1855;33750.0;7342.00.00;18451.0;2202.00.00;22.05;35.00.00;25.09.00;41.03.00;18.09;08.00;05.09;24.07.00;03.02;63.03.00;02.05;00.00;06.03;48.06.00;1355;79.05.00;16.09;03.06;00.00;13.05
36047087200;Kings;Brooklyn;2726;1118;1608;06.03;01.02;90.05.00;00.00;02.00;1815;42891.0;11694.0;22174.0;3095.00.00;15.03;17.07;25.09.00;36.08.00;25.05.00;07.04;04.05;26.00.00;00.06;64.06.00;06.05;01.07;00.07;43.08.00;1210;71.02.00;27.03.00;01.05;00.00;12.09
36047087401;Kings;Brooklyn;3122;1283;1839;08.00;02.09;86.09.00;00.00;00.00;1882;30150.0;13745.0;16530.0;3671.00.00;31.02.00;49.02.00;19.06;47.01.00;13.05;02.09;17.00;22.05;03.02;61.01.00;11.07;00.00;01.05;43.06.00;1179;71.09.00;20.09;07.01;00.00;12.08
36047087600;Kings;Brooklyn;1693;801;892;03.00;19.00;70.08.00;00.00;03.02;1151;40109.0;9367.00.00;21162.0;4376.00.00;15.04;10.03;37.09.00;29.07.00;19.09;05.08;06.08;22.09;05.05;58.05.00;09.08;00.00;03.03;46.04.00;725;69.09.00;28.07.00;01.04;00.00;05.02
36047087800;Kings;Brooklyn;2816;1287;1529;03.07;00.07;92.06.00;00.00;01.02;1743;40208.0;8873.00.00;18183.0;2437.00.00;31.05.00;51.08.00;20.01;35.04.00;23.00;08.07;12.08;27.00.00;01.07;64.05.00;02.06;01.05;02.06;46.06.00;1122;77.05.00;15.04;06.08;00.04;11.01
36047088000;Kings;Brooklyn;3208;1384;1824;06.08;05.08;86.05.00;00.00;00.00;2040;51827.0;9348.00.00;22892.0;3329.00.00;16.04;19.02;29.06.00;26.07.00;24.04.00;06.08;12.04;26.06.00;02.05;59.03.00;05.09;03.05;02.02;41.00.00;1477;66.05.00;27.03.00;06.02;00.00;07.01
36047088200;Kings;Brooklyn;6660;3101;3559;03.04;00.04;93.09.00;00.00;02.00;4311;46750.0;8036.00.00;22942.0;2932.00.00;14.01;17.09;20.02;37.03.00;25.07.00;09.01;07.07;24.07.00;08.08;61.08.00;03.00;01.06;00.00;44.03.00;3135;74.04.00;23.07;01.09;00.00;08.09
36047088400;Kings;Brooklyn;4923;2170;2753;03.09;04.00;87.05.00;00.00;01.03;2625;37853.0;9272.00.00;18576.0;2673.00.00;21.05;26.03.00;25.07.00;43.07.00;18.04;05.07;06.05;14.03;04.09;70.06.00;03.06;01.08;04.08;50.00.00;2001;83.04.00;10.06;05.09;00.00;08.01
36047088600;Kings;Brooklyn;4472;1914;2558;07.01;00.06;89.08.00;00.04;00.05;2740;45208.0;10418.0;21824.0;2665.00.00;22.02;29.01.00;20.07;33.07.00;24.01.00;13.05;08.00;22.02;04.04;65.09.00;03.07;00.00;03.08;49.07.00;1932;81.02.00;14.04;04.05;00.00;12.00
36047088800;Kings;Brooklyn;4274;1805;2469;11.08;01.05;86.02.00;00.00;00.00;2616;43046.0;5975.00.00;19849.0;2412.00.00;17.05;22.07;23.08;35.09.00;25.04.00;07.05;07.04;20.06;03.07;63.09.00;02.07;02.06;06.04;52.02.00;1822;72.00.00;24.00.00;04.01;00.00;11.03
