CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment
36005000100;Bronx;Bronx;7703;7133;570;29.09.00;06.01;60.09.00;00.02;01.06;6476;;;2440.00.00;373.00.00;;;;;;;;;;;;;;;0;;;;;
36005000200;Bronx;Bronx;5403;2659;2744;75.08.00;02.03;16.00;00.00;04.02;3639;72034.0;13991.0;22180.0;2206.00.00;20.00;20.07;28.07.00;17.01;23.09;08.00;22.03;44.08.00;13.07;38.06.00;02.09;00.00;00.00;43.00.00;2308;80.08.00;16.02;02.09;00.00;07.07
36005000400;Bronx;Bronx;5915;2896;3019;62.07.00;03.06;30.07.00;00.00;00.03;4100;74836.0;8407.00.00;27700.0;2449.00.00;13.02;23.06;32.02.00;23.04;24.09.00;09.00;10.05;41.03.00;10.00;44.06.00;01.04;00.05;02.01;45.00.00;2675;71.07.00;25.03.00;02.05;00.06;09.05
36005001600;Bronx;Bronx;5879;2558;3321;65.01.00;01.06;32.04.00;00.00;00.00;3536;32312.0;6859.00.00;17526.0;2945.00.00;26.03.00;35.09.00;19.01;36.01.00;26.02.00;04.09;13.08;37.02.00;05.03;45.05.00;08.06;01.06;01.07;38.08.00;2120;75.00.00;21.03;03.08;00.00;08.07
36005001900;Bronx;Bronx;2591;1206;1385;55.04.00;09.00;29.00.00;00.00;02.01;1557;37936.0;3771.00.00;17986.0;2692.00.00;37.01.00;31.05.00;35.04.00;20.09;26.02.00;06.06;11.00;19.02;05.03;63.09.00;03.00;02.04;06.02;45.04.00;1083;76.08.00;15.05;07.07;00.00;19.02
36005002000;Bronx;Bronx;8516;3301;5215;61.01.00;01.06;31.01.00;00.03;03.03;5436;18086.0;3694.00.00;12023.0;2346.00.00;53.02.00;67.07.00;14.05;41.01.00;16.07;07.01;20.06;19.06;07.00;68.02.00;04.03;01.00;00.00;46.00.00;2508;71.00.00;21.03;07.07;00.00;17.02
36005002300;Bronx;Bronx;4774;2130;2644;62.03.00;00.02;36.05.00;01.00;00.00;3056;14479.0;1901.00.00;9781.00.00;1460.00.00;54.02.00;68.03.00;20.08;36.00.00;33.07.00;03.04;06.01;05.09;00.00;74.05.00;14.00;01.05;04.01;42.07.00;1191;74.02.00;16.01;09.07;00.00;18.09
36005002400;Bronx;Bronx;150;109;41;00.00;52.00.00;48.00.00;00.00;00.00;41;;;49365.0;2072.00.00;00.00;00.00;63.07.00;36.03.00;00.00;00.00;00.00;00.00;00.00;100.00.00;00.00;00.00;00.00;;113;62.08.00;37.02.00;00.00;00.00;00.00
36005002500;Bronx;Bronx;5355;2338;3017;76.05.00;01.05;18.09;00.00;03.00;2509;17226.0;6097.00.00;11493.0;1714.00.00;50.05.00;62.04.00;15.09;36.06.00;24.02.00;08.06;14.07;12.06;02.08;62.05.00;17.07;01.08;02.07;35.05.00;1691;85.01.00;08.03;06.01;00.05;09.04
36005002701;Bronx;Bronx;3016;1375;1641;68.00.00;00.00;31.02.00;00.00;00.00;1456;20153.0;5229.00.00;10317.0;1573.00.00;52.06.00;64.09.00;19.09;35.09.00;25.08.00;04.09;13.05;14.00;01.07;64.07.00;18.00;00.00;01.06;42.08.00;1102;86.09.00;08.05;04.05;00.00;15.02
36005002702;Bronx;Bronx;4778;2427;2351;71.03.00;01.06;26.02.00;00.00;00.00;2365;17147.0;7165.00.00;8911.00.00;1450.00.00;52.07.00;63.01.00;15.02;46.04.00;25.00.00;01.07;11.06;05.01;03.00;83.06.00;07.01;00.07;00.05;44.00.00;1559;75.00.00;14.00;11.00;00.00;10.06
36005002800;Bronx;Bronx;5299;2292;3007;23.00;00.02;71.04.00;00.00;01.07;4056;49529.0;5441.00.00;26652.0;3069.00.00;08.05;06.05;36.06.00;24.04.00;26.06.00;04.09;07.04;42.08.00;03.07;48.02.00;02.00;00.06;02.07;47.03.00;2394;61.09.00;37.04.00;00.06;00.00;12.08
36005003100;Bronx;Bronx;1466;769;697;72.03.00;00.06;24.06.00;00.00;02.02;647;37250.0;12079.0;17043.0;2281.00.00;18.01;25.02.00;17.05;27.06.00;27.00.00;10.09;17.00;16.04;00.00;65.05.00;14.06;03.05;00.00;40.01.00;722;79.02.00;10.02;10.05;00.00;06.06
36005003300;Bronx;Bronx;3912;1824;2088;65.06.00;01.00;30.06.00;01.07;00.00;1945;19923.0;2402.00.00;8555.00.00;1435.00.00;56.03.00;72.03.00;14.05;51.04.00;15.08;02.07;15.06;11.00;04.06;68.04.00;13.05;00.08;01.08;42.05.00;1113;77.02.00;16.09;05.09;00.00;18.05
36005003500;Bronx;Bronx;3948;1921;2027;73.05.00;00.07;25.09.00;00.00;00.00;2191;26541.0;7009.00.00;12300.0;1884.00.00;36.03.00;47.09.00;15.09;34.06.00;23.05;07.06;18.04;19.06;02.06;64.07.00;07.04;01.00;04.07;41.06.00;1360;83.02.00;13.04;03.04;00.00;11.08
36005003700;Bronx;Bronx;246;128;118;57.07.00;24.04.00;17.09;00.00;00.00;207;;;14771.0;5419.00.00;43.05.00;00.00;17.07;41.07.00;24.00.00;00.00;16.07;08.03;00.00;79.02.00;12.05;00.00;00.00;33.00.00;96;100.00.00;00.00;00.00;00.00;11.01
36005003800;Bronx;Bronx;1193;542;651;53.01.00;01.08;42.07.00;00.00;00.08;846;37685.0;6696.00.00;19795.0;6558.00.00;31.03.00;45.00.00;35.07.00;31.09.00;17.06;03.02;11.06;41.06.00;01.07;47.03.00;06.09;01.03;01.01;41.03.00;476;71.08.00;27.01.00;01.01;00.00;13.01
36005003900;Bronx;Bronx;6614;3520;3094;82.00.00;01.09;16.01;00.00;00.00;2569;25990.0;6323.00.00;14559.0;2790.00.00;30.02.00;35.07.00;09.03;43.08.00;12.07;10.02;24.00.00;03.04;01.01;83.06.00;06.05;00.06;04.08;42.09.00;2729;88.02.00;03.04;08.02;00.03;09.03
36005004001;Bronx;Bronx;1419;675;744;51.03.00;11.02;10.08;00.00;21.06;936;48056.0;6057.00.00;22652.0;3344.00.00;16.06;28.06.00;18.01;17.09;42.07.00;09.05;11.08;31.00.00;03.00;62.09.00;03.02;00.00;00.00;47.04.00;602;81.09.00;16.09;01.02;00.00;06.08
36005004100;Bronx;Bronx;6476;3125;3351;75.08.00;00.05;23.04;00.00;00.02;3809;18636.0;3658.00.00;10877.0;4758.00.00;53.03.00;67.04.00;08.09;48.01.00;30.03.00;08.03;04.04;06.07;00.05;75.01.00;16.02;00.07;00.08;43.05.00;1734;81.03.00;13.04;05.03;00.00;19.02
36005004200;Bronx;Bronx;7120;3147;3973;46.05.00;05.01;47.00.00;00.00;00.08;5248;25741.0;7845.00.00;13846.0;1947.00.00;40.05.00;56.04.00;26.03.00;32.00.00;23.09;06.06;11.01;19.04;02.07;68.09.00;07.02;01.00;01.00;48.05.00;2094;71.08.00;24.02.00;03.04;00.06;21.00
36005004300;Bronx;Bronx;6057;3094;2963;74.01.00;00.04;23.04;00.00;00.00;3032;21448.0;3092.00.00;11828.0;1525.00.00;46.06.00;55.02.00;14.04;39.01.00;22.03;10.01;14.00;13.04;02.06;66.04.00;12.06;01.00;04.00;39.06.00;2026;76.08.00;12.02;11.00;00.00;15.06
36005004400;Bronx;Bronx;4754;2081;2673;60.06.00;02.04;35.02.00;00.00;01.07;3153;22719.0;2899.00.00;12126.0;1669.00.00;34.08.00;46.06.00;16.03;30.04.00;38.02.00;04.01;11.00;15.09;05.06;72.04.00;02.05;00.08;02.08;43.02.00;1446;79.03.00;19.03;01.04;00.00;26.01.00
36005004600;Bronx;Bronx;1869;845;1024;59.07.00;03.00;36.06.00;00.04;00.00;1182;40950.0;10707.0;19260.0;4463.00.00;25.05.00;37.01.00;23.06;38.04.00;21.02;05.09;10.09;35.03.00;08.03;47.01.00;09.03;00.00;00.00;33.07.00;589;68.06.00;23.03;08.01;00.00;13.04
36005004800;Bronx;Bronx;3999;2154;1845;71.07.00;01.02;23.08;00.00;02.04;1499;30301.0;4692.00.00;13968.0;2096.00.00;33.02.00;41.09.00;15.07;37.08.00;19.09;12.01;14.05;14.00;05.00;71.00.00;06.06;00.00;03.04;42.01.00;1577;84.00.00;08.01;08.00;00.00;14.00
36005005001;Bronx;Bronx;4885;2313;2572;58.04.00;00.00;36.08.00;00.00;00.00;2288;27456.0;9296.00.00;15334.0;2365.00.00;34.04.00;50.02.00;12.03;36.09.00;24.05.00;15.06;10.06;14.07;04.03;69.06.00;08.00;00.00;03.03;48.02.00;1919;78.00.00;16.03;03.01;02.06;14.05
36005005002;Bronx;Bronx;5650;2867;2783;73.02.00;00.04;17.01;01.04;00.02;1995;28039.0;5380.00.00;12990.0;1906.00.00;45.06.00;60.07.00;05.04;43.04.00;19.08;18.05;12.09;05.04;03.04;75.01.00;10.04;02.03;03.03;48.02.00;2647;93.03.00;02.01;04.06;00.00;13.03
36005005100;Bronx;Bronx;5653;2256;3397;69.07.00;00.01;28.01.00;02.01;00.00;3360;18633.0;2086.00.00;10602.0;1444.00.00;49.04.00;70.01.00;15.05;52.09.00;17.03;06.04;07.09;02.04;02.00;92.02.00;02.05;00.05;00.05;43.06.00;1631;77.09.00;19.00;02.07;00.04;22.06
36005005200;Bronx;Bronx;2277;1028;1249;69.07.00;00.05;26.07.00;00.00;02.09;1344;17756.0;3843.00.00;15123.0;4609.00.00;49.03.00;57.08.00;23.01;29.06.00;22.03;13.02;11.07;14.00;03.07;54.00.00;12.00;07.03;09.00;43.02.00;749;81.06.00;09.06;08.08;00.00;13.05
36005005300;Bronx;Bronx;3727;1514;2213;44.01.00;03.00;50.07.00;00.05;00.02;2053;17719.0;4121.00.00;10031.0;1557.00.00;54.07.00;70.00.00;17.02;38.00.00;20.08;10.06;13.04;11.00;04.04;78.07.00;03.06;02.04;00.00;56.08.00;990;85.01.00;14.09;00.00;00.00;23.07
36005005400;Bronx;Bronx;6219;3163;3056;71.07.00;00.00;21.00;00.00;01.08;2699;27380.0;6078.00.00;14711.0;2106.00.00;41.07.00;55.08.00;11.09;32.03.00;22.03;18.08;14.07;15.00;03.01;67.09.00;05.06;04.05;03.09;41.03.00;2600;81.05.00;07.02;11.03;00.00;08.09
36005005600;Bronx;Bronx;2468;1084;1384;66.04.00;01.00;24.04.00;00.00;01.08;1296;17771.0;4860.00.00;13596.0;2014.00.00;38.00.00;52.00.00;21.01;33.00.00;23.08;10.07;11.04;17.06;07.04;65.00.00;08.07;00.00;01.03;40.00.00;821;87.03.00;10.02;02.04;00.00;16.08
36005005902;Bronx;Bronx;3131;1460;1671;70.04.00;01.08;23.01;02.06;01.03;1829;38542.0;6531.00.00;19604.0;4834.00.00;26.09.00;18.03;21.02;41.02.00;17.07;09.08;10.01;13.06;02.06;66.05.00;08.06;00.01;08.07;40.01.00;1205;70.05.00;23.02;06.02;00.00;14.02
36005006000;Bronx;Bronx;1256;591;665;69.04.00;04.01;21.04;00.00;01.08;679;41190.0;4642.00.00;15989.0;2949.00.00;35.02.00;46.08.00;20.07;39.08.00;21.03;02.09;15.03;25.09.00;04.07;61.02.00;03.05;00.00;04.07;40.04.00;522;75.01.00;18.04;06.05;00.00;11.01
36005006100;Bronx;Bronx;3706;1484;2222;16.08;02.01;77.01.00;00.00;00.05;3232;48298.0;9993.00.00;31379.0;3023.00.00;09.08;07.07;35.00.00;30.00.00;27.09.00;01.07;05.04;27.00.00;00.08;64.05.00;07.07;00.00;00.00;37.05.00;1581;61.00.00;37.06.00;01.04;00.00;07.08
36005006200;Bronx;Bronx;7610;3790;3820;69.06.00;00.00;30.02.00;00.00;00.02;3811;24480.0;5909.00.00;12152.0;1646.00.00;34.07.00;55.00.00;14.05;36.02.00;21.03;21.00;07.00;17.06;00.04;66.07.00;05.02;03.01;07.01;41.06.00;2749;75.06.00;12.05;12.00;00.00;11.04
36005006300;Bronx;Bronx;4431;2394;2037;69.01.00;03.07;20.06;00.08;05.00;2523;32064.0;4061.00.00;19243.0;2473.00.00;27.07.00;45.00.00;19.09;25.09.00;33.04.00;05.04;15.05;12.09;00.08;73.03.00;10.04;02.07;00.00;41.04.00;2032;80.00.00;13.09;06.01;00.00;12.08
36005006400;Bronx;Bronx;3590;1755;1835;54.08.00;08.03;31.08.00;00.00;01.01;2288;30726.0;8555.00.00;15846.0;3083.00.00;41.01.00;63.09.00;25.04.00;18.07;40.05.00;09.09;05.05;32.00.00;00.08;63.08.00;00.07;00.06;02.01;46.07.00;1459;79.04.00;13.00;07.05;00.00;12.02
36005006500;Bronx;Bronx;5487;2557;2930;60.05.00;04.08;32.07.00;00.00;01.04;2858;21384.0;5108.00.00;11967.0;1760.00.00;44.02.00;63.03.00;10.05;44.01.00;30.03.00;04.01;11.01;03.03;00.00;73.05.00;18.01;00.00;05.01;35.09.00;2168;85.02.00;10.07;04.01;00.00;11.06
36005006700;Bronx;Bronx;7421;3353;4068;66.03.00;01.08;29.04.00;00.05;00.00;3192;21016.0;4709.00.00;13243.0;6074.00.00;47.01.00;67.01.00;12.09;35.04.00;26.03.00;06.01;19.03;07.08;00.08;62.09.00;17.09;04.09;05.07;46.02.00;2413;81.08.00;09.09;08.03;00.00;14.06
36005006800;Bronx;Bronx;3288;1866;1422;59.01.00;03.01;29.05.00;00.00;04.02;1474;47232.0;11781.0;17178.0;2623.00.00;22.05;33.09.00;16.01;40.02.00;22.00;14.07;06.09;25.06.00;05.08;58.05.00;05.01;03.09;01.01;42.09.00;1370;84.02.00;12.06;03.03;00.00;12.05
36005006900;Bronx;Bronx;8554;3740;4814;58.08.00;02.05;36.01.00;00.00;01.03;4349;19741.0;7359.00.00;12111.0;1804.00.00;44.00.00;48.05.00;18.00;37.07.00;25.06.00;05.02;13.05;15.05;03.09;63.08.00;12.00;00.00;04.09;38.03.00;2617;80.00.00;14.06;05.04;00.00;16.07
36005007000;Bronx;Bronx;4568;2172;2396;64.01.00;02.03;25.00.00;00.07;05.01;2211;34191.0;7201.00.00;14602.0;1614.00.00;30.01.00;55.03.00;16.04;34.03.00;22.06;14.01;12.06;14.02;04.05;72.05.00;03.09;00.09;04.00;45.04.00;1877;84.08.00;12.06;02.06;00.00;11.08
36005007100;Bronx;Bronx;2547;1080;1467;60.07.00;01.01;36.04.00;00.00;00.09;1783;38289.0;6810.00.00;18245.0;3123.00.00;28.08.00;37.08.00;26.07.00;23.04;27.06.00;14.04;07.08;19.02;00.05;68.03.00;09.04;01.02;01.04;44.04.00;1011;78.02.00;19.08;02.00;00.00;16.05
36005007200;Bronx;Bronx;5822;2924;2898;50.04.00;06.02;15.03;00.00;22.02;2631;37634.0;8074.00.00;14985.0;2146.00.00;33.04.00;48.00.00;19.09;30.09.00;26.07.00;12.00;10.06;29.04.00;00.09;60.01.00;05.00;02.02;02.03;42.02.00;2307;84.08.00;09.03;05.09;00.00;07.04
36005007300;Bronx;Bronx;3761;1866;1895;63.00.00;02.00;33.09.00;00.01;00.00;1690;18358.0;5706.00.00;9872.00.00;1662.00.00;50.07.00;60.00.00;10.01;47.09.00;26.03.00;04.08;10.09;12.02;01.09;61.08.00;09.05;02.06;12.00;46.02.00;1127;91.02.00;05.03;03.05;00.00;20.02
36005007400;Bronx;Bronx;3635;1744;1891;72.08.00;01.05;25.05.00;00.00;00.02;2675;44455.0;7777.00.00;22275.0;2702.00.00;19.03;40.06.00;33.09.00;30.07.00;23.01;02.08;09.06;40.08.00;06.08;46.04.00;03.03;00.00;02.07;45.04.00;1630;74.07.00;23.09;01.05;00.00;07.01
36005007500;Bronx;Bronx;5599;2072;3527;58.08.00;01.08;38.05.00;00.09;00.00;3307;25452.0;5317.00.00;13290.0;1603.00.00;31.07.00;43.05.00;19.05;40.05.00;25.01.00;06.05;08.04;18.06;03.08;63.01.00;10.01;01.08;02.07;38.08.00;2017;78.07.00;15.02;06.01;00.00;08.05
36005007600;Bronx;Bronx;5587;2681;2906;63.07.00;03.03;19.04;01.05;09.03;2686;33465.0;6930.00.00;15194.0;1990.00.00;34.06.00;50.03.00;14.04;29.08.00;24.01.00;15.00;16.07;26.07.00;05.08;61.00.00;03.02;01.00;02.03;39.04.00;2316;87.04.00;07.09;03.05;01.02;09.04
36005007700;Bronx;Bronx;1933;879;1054;70.08.00;02.05;26.03.00;00.04;00.00;1118;26486.0;7002.00.00;13724.0;2428.00.00;37.08.00;52.05.00;20.03;27.09.00;31.04.00;10.04;09.09;15.05;10.04;60.02.00;08.03;02.05;03.01;40.02.00;684;79.01.00;12.01;07.09;00.09;13.06
36005007800;Bronx;Bronx;6518;3023;3495;66.02.00;04.04;15.08;00.00;11.07;3619;30437.0;12004.0;14343.0;1891.00.00;31.00.00;40.09.00;18.08;31.06.00;33.05.00;04.07;11.04;21.05;10.02;57.06.00;05.06;01.09;03.01;37.06.00;2415;86.00.00;07.03;06.07;00.00;15.07
36005007900;Bronx;Bronx;6420;3118;3302;77.06.00;00.01;21.06;00.00;00.00;3204;24278.0;9630.00.00;13513.0;2921.00.00;44.07.00;63.00.00;12.02;35.08.00;25.07.00;05.03;21.00;13.08;00.00;71.00.00;10.00;01.01;04.01;41.01.00;2204;80.03.00;09.02;10.05;00.00;14.04
36005008300;Bronx;Bronx;6882;3348;3534;79.01.00;00.04;15.06;00.00;04.02;3333;19818.0;8210.00.00;11959.0;1709.00.00;41.09.00;55.01.00;18.01;40.04.00;26.02.00;05.04;09.09;10.05;02.04;74.02.00;06.02;03.02;03.05;42.01.00;2354;89.08.00;04.06;05.03;00.03;14.01
36005008400;Bronx;Bronx;2289;1069;1220;60.08.00;01.05;30.01.00;00.09;03.04;1538;60135.0;8334.00.00;23698.0;4110.00.00;13.06;23.07;27.03.00;27.09.00;28.07.00;06.05;09.05;36.06.00;05.02;54.02.00;04.00;00.00;00.00;41.08.00;1039;79.02.00;17.07;03.01;00.00;10.02
36005008500;Bronx;Bronx;5959;3196;2763;77.04.00;01.00;19.05;00.00;01.00;2988;27174.0;7981.00.00;12216.0;1583.00.00;39.03.00;41.09.00;15.04;36.02.00;27.08.00;07.08;12.08;13.01;03.04;66.07.00;11.07;03.02;01.09;37.09.00;2188;82.08.00;05.03;09.08;02.01;15.01
36005008600;Bronx;Bronx;3874;1668;2206;69.02.00;00.04;24.09.00;00.00;04.09;2596;23045.0;6048.00.00;12513.0;1714.00.00;39.01.00;49.01.00;17.03;42.09.00;18.04;07.00;14.04;17.09;05.02;61.07.00;14.06;00.00;00.06;46.02.00;1295;82.08.00;13.01;04.01;00.00;09.04
36005008700;Bronx;Bronx;6002;2843;3159;76.09.00;02.02;20.05;00.00;00.00;3246;29188.0;5168.00.00;14050.0;1567.00.00;30.04.00;36.02.00;16.01;39.00.00;25.07.00;07.01;12.01;09.05;04.00;70.07.00;07.05;02.03;06.00;44.05.00;2236;80.06.00;15.02;04.02;00.00;08.03
36005008900;Bronx;Bronx;3438;1661;1777;79.09.00;01.06;16.06;00.05;01.04;1672;20849.0;7996.00.00;11550.0;1928.00.00;32.05.00;26.08.00;15.09;41.07.00;21.01;07.04;13.09;11.07;04.09;67.07.00;10.04;01.01;04.01;44.03.00;1162;83.04.00;11.03;05.03;00.00;06.05
36005009000;Bronx;Bronx;3476;1681;1795;66.05.00;03.03;24.06.00;00.00;04.07;2354;27000.0;12365.0;19161.0;5914.00.00;36.07.00;48.08.00;31.00.00;24.09.00;34.06.00;05.03;04.02;36.04.00;06.05;47.08.00;04.08;00.00;04.04;43.08.00;1075;78.05.00;17.06;03.09;00.00;14.06
36005009200;Bronx;Bronx;5622;2578;3044;60.09.00;02.08;14.02;00.00;17.08;3260;35227.0;8725.00.00;18825.0;2909.00.00;21.03;28.02.00;24.03.00;29.06.00;26.05.00;05.09;13.07;13.02;08.01;67.09.00;06.07;03.08;00.04;48.04.00;2235;77.00.00;16.08;06.01;00.00;18.06
36005009300;Bronx;Bronx;6517;3675;2842;72.06.00;01.02;25.08.00;00.01;00.00;3353;30159.0;4279.00.00;11783.0;1621.00.00;40.07.00;49.07.00;16.05;34.01.00;22.00;14.04;13.00;24.00.00;02.03;45.04.00;23.03;01.01;03.09;40.01.00;2021;87.02.00;06.07;06.01;00.00;09.05
36005009600;Bronx;Bronx;2562;1255;1307;57.03.00;06.08;20.02;00.00;14.09;1565;41250.0;7688.00.00;17217.0;2647.00.00;15.06;10.06;19.07;40.03.00;21.02;03.04;15.02;22.04;07.02;52.04.00;12.02;02.00;03.07;38.00.00;932;70.09.00;19.08;09.02;00.00;17.01
36005009800;Bronx;Bronx;5041;2165;2876;70.01.00;02.08;21.09;00.00;02.09;3570;57438.0;12832.0;24276.0;3162.00.00;23.03;41.02.00;34.09.00;21.03;24.06.00;08.01;11.01;39.07.00;06.04;49.08.00;03.01;01.00;00.00;48.03.00;2290;69.01.00;25.09.00;04.09;00.00;12.07
36005011000;Bronx;Bronx;153;79;74;100.00.00;00.00;00.00;00.00;00.00;141;;;29025.0;12332.0;20.09;00.00;30.05.00;28.04.00;25.03.00;00.00;15.08;42.01.00;00.00;44.02.00;00.00;00.00;13.07;;95;46.03.00;53.07.00;00.00;00.00;12.08
36005011502;Bronx;Bronx;4566;2058;2508;67.04.00;00.05;30.08.00;00.01;01.01;2087;21765.0;5551.00.00;10986.0;2596.00.00;47.06.00;56.07.00;13.07;39.08.00;18.04;10.04;17.07;17.03;02.08;65.03.00;11.05;00.05;02.07;40.05.00;1332;84.06.00;07.00;08.04;00.00;18.05
36005011700;Bronx;Bronx;1603;787;816;72.01.00;02.01;25.09.00;00.00;00.00;991;25483.0;7151.00.00;14854.0;2448.00.00;33.04.00;42.02.00;13.00;37.02.00;24.03.00;09.02;16.03;13.03;07.03;55.03.00;18.04;00.00;05.06;38.03.00;608;87.07.00;10.05;01.08;00.00;16.08
36005011800;Bronx;Bronx;5364;3208;2156;20.01;73.01.00;01.07;00.00;04.02;4210;83077.0;11253.0;28379.0;2907.00.00;11.03;11.03;38.09.00;19.05;27.06.00;03.09;10.00;52.06.00;13.04;25.06.00;04.04;00.08;03.01;34.07.00;2315;74.02.00;24.04.00;01.04;00.00;07.00
36005011900;Bronx;Bronx;5603;2678;2925;68.08.00;00.03;28.01.00;00.04;00.00;2961;22097.0;5308.00.00;13201.0;4619.00.00;39.03.00;46.03.00;18.06;48.03.00;18.03;04.04;10.03;07.01;03.00;76.08.00;05.05;00.06;07.00;44.03.00;1866;82.09.00;13.02;03.09;00.00;15.06
36005012101;Bronx;Bronx;3057;1466;1591;72.08.00;03.04;21.08;00.00;01.01;1467;27813.0;4935.00.00;11175.0;1384.00.00;43.01.00;48.05.00;14.02;35.07.00;25.05.00;09.08;14.08;14.04;03.01;77.07.00;01.06;00.03;02.07;46.04.00;1259;80.05.00;16.09;02.05;00.00;10.06
36005012102;Bronx;Bronx;1835;762;1073;81.09.00;00.09;16.01;00.00;00.00;1132;20028.0;4672.00.00;8603.00.00;1677.00.00;49.06.00;61.00.00;11.00;37.01.00;32.02.00;06.03;13.05;15.07;05.02;70.02.00;08.09;00.00;00.00;44.01.00;510;87.01.00;08.06;04.03;00.00;17.07
36005012300;Bronx;Bronx;4379;2073;2306;66.03.00;00.05;28.00.00;00.00;00.07;2386;21300.0;9643.00.00;15115.0;5578.00.00;45.01.00;59.05.00;22.08;31.04.00;29.09.00;08.06;07.02;12.05;01.08;69.06.00;09.08;01.07;04.05;43.03.00;1520;93.05.00;04.05;02.00;00.00;10.06
36005012500;Bronx;Bronx;4272;2125;2147;71.00.00;01.04;22.01;01.07;02.00;2119;26348.0;2834.00.00;14459.0;2055.00.00;42.09.00;57.00.00;30.08.00;26.08.00;14.02;07.09;20.03;21.05;03.07;61.06.00;06.00;04.01;03.00;39.03.00;1421;74.05.00;14.01;09.07;01.07;13.05
36005012701;Bronx;Bronx;1992;791;1201;78.03.00;02.01;16.01;00.03;02.08;1271;18641.0;3928.00.00;11700.0;1884.00.00;49.04.00;59.09.00;17.04;34.03.00;27.03.00;08.08;12.02;04.04;04.03;72.02.00;16.09;01.07;00.05;39.07.00;656;83.04.00;14.08;01.08;00.00;09.00
36005012901;Bronx;Bronx;4017;1821;2196;58.01.00;02.05;36.01.00;00.00;02.04;2344;18269.0;4443.00.00;9415.00.00;1262.00.00;48.09.00;54.01.00;06.07;49.06.00;30.04.00;06.09;06.03;07.09;03.02;75.06.00;07.04;00.00;05.08;43.04.00;995;88.06.00;10.02;01.02;00.00;14.01
36005013000;Bronx;Bronx;1364;637;727;41.02.00;55.01.00;01.05;00.00;00.00;1118;77917.0;19751.0;33654.0;5735.00.00;05.07;03.02;23.04;15.01;36.01.00;12.03;13.00;52.01.00;14.06;30.04.00;00.09;00.00;02.00;39.02.00;747;76.03.00;22.08;00.09;00.00;06.07
36005013100;Bronx;Bronx;4685;2261;2424;71.04.00;00.08;24.03.00;00.00;01.08;2428;25271.0;7236.00.00;12742.0;1342.00.00;35.05.00;37.07.00;18.02;31.04.00;35.08.00;05.01;09.05;16.05;02.07;67.02.00;06.00;02.07;04.09;42.08.00;1686;80.05.00;09.02;10.03;00.00;11.05
36005013200;Bronx;Bronx;7426;3706;3720;50.00.00;31.03.00;10.07;00.00;03.08;5755;96701.0;6298.00.00;38669.0;4873.00.00;07.00;15.08;38.05.00;23.06;25.02.00;05.09;06.09;54.00.00;06.08;30.06.00;07.00;01.06;00.00;41.04.00;3797;73.02.00;24.03.00;02.05;00.00;07.05
36005013300;Bronx;Bronx;7284;3419;3865;69.08.00;01.00;28.08.00;00.00;00.00;4211;25282.0;8305.00.00;13793.0;1895.00.00;25.05.00;26.04.00;13.04;44.01.00;21.02;01.03;20.00;18.09;03.05;62.00.00;05.03;08.02;02.01;36.05.00;2479;72.07.00;13.06;13.08;00.00;15.00
36005013500;Bronx;Bronx;3908;1697;2211;62.00.00;01.03;32.02.00;00.08;00.00;2225;23279.0;5337.00.00;14125.0;1761.00.00;40.02.00;55.09.00;16.05;43.05.00;16.08;07.02;16.00;19.00;00.09;68.02.00;06.08;03.05;01.06;41.06.00;1244;75.04.00;18.04;06.02;00.00;12.03
36005013800;Bronx;Bronx;2989;1451;1538;21.06;67.04.00;04.09;00.00;04.09;2234;79773.0;16378.0;39479.0;5942.00.00;05.05;00.00;31.05.00;13.02;28.00.00;10.02;17.02;59.01.00;12.06;24.05.00;01.07;00.00;02.02;35.06.00;1420;72.07.00;22.02;05.01;00.00;07.09
36005014100;Bronx;Bronx;5355;2435;2920;61.02.00;00.08;36.02.00;00.00;00.09;2821;32500.0;6835.00.00;20805.0;7504.00.00;26.02.00;31.06.00;21.02;37.00.00;24.05.00;04.02;13.01;15.01;02.02;70.06.00;10.01;00.00;02.00;43.08.00;2163;88.03.00;08.09;01.09;00.09;13.01
36005014300;Bronx;Bronx;968;454;514;46.02.00;05.04;42.01.00;01.00;04.02;505;12000.0;5279.00.00;9332.00.00;1813.00.00;52.02.00;46.06.00;12.00;59.08.00;15.07;02.04;10.00;07.08;00.00;73.01.00;10.05;04.06;04.01;39.07.00;249;94.00.00;04.04;01.06;00.00;17.08
36005014400;Bronx;Bronx;6049;2208;3841;58.07.00;01.08;35.03.00;00.00;03.06;3745;19418.0;3697.00.00;15457.0;2859.00.00;46.04.00;56.02.00;16.09;42.03.00;27.02.00;06.00;07.05;31.04.00;04.04;55.07.00;06.03;01.07;00.04;58.05.00;1789;74.00.00;24.06.00;01.05;00.00;19.07
